event_id,customer_id,ts,event_name,page,region,consent_measurement,consent_marketing
ev7900213176,357,2025-07-16 15:06:35.154647,page_view,/products,US,True,False
ev3828650757,237,2025-07-26 10:56:35.154667,page_view,/,BR,True,False
ev9502811766,588,2025-07-28 06:01:35.154673,page_view,/,US,True,True
ev7523197261,510,2025-07-19 07:21:35.154679,signup,/products,EU,True,True
ev3709679189,270,2025-07-29 16:32:35.154685,page_view,/cart,EU,True,True
ev2902145228,122,2025-06-24 19:49:35.154691,page_view,/products,US,True,True
ev7081016794,582,2025-06-23 00:25:35.154696,add_to_cart,/products,EU,True,True
ev5562488598,264,2025-08-04 15:24:35.154704,purchase,/thank-you,EU,True,True
ev6390203682,564,2025-06-26 11:29:35.154711,page_view,/,EU,True,True
ev2163476411,641,2025-06-25 02:22:35.154718,page_view,/cart,EU,True,True
ev7891916277,284,2025-07-19 01:30:35.154724,add_to_cart,/thank-you,UK,False,True
ev8748912971,61,2025-08-05 01:54:35.154730,add_to_cart,/,US,False,True
ev4778462082,351,2025-07-05 19:39:35.154735,page_view,/checkout,EU,True,False
ev3741901535,124,2025-08-01 14:07:35.154743,page_view,/products,UK,True,True
ev9774140438,249,2025-08-06 20:45:35.154753,page_view,/,EU,True,False
ev9773910070,229,2025-07-31 06:47:35.154765,page_view,/cart,UK,True,True
ev2122570672,582,2025-08-11 14:30:35.154771,add_to_cart,/products,UK,False,False
ev5865288399,169,2025-07-14 01:36:35.154777,begin_checkout,/thank-you,EU,True,True
ev4931826557,694,2025-07-03 07:14:35.154782,page_view,/cart,BR,False,False
ev3521818217,665,2025-07-22 04:23:35.154788,page_view,/thank-you,EU,True,False
ev5670557085,302,2025-08-03 08:46:35.154793,page_view,/thank-you,US,True,True
ev7013106981,703,2025-07-26 23:03:35.154799,page_view,/thank-you,US,True,True
ev4299340652,112,2025-08-10 12:35:35.154806,begin_checkout,/,UK,True,False
ev3767616608,664,2025-06-21 23:14:35.154815,add_to_cart,/checkout,EU,True,False
ev8769990827,630,2025-08-05 08:54:35.154825,page_view,/cart,EU,True,True
ev6920817638,350,2025-08-13 00:42:35.154835,page_view,/checkout,EU,True,False
ev3748651567,251,2025-08-03 11:12:35.154841,begin_checkout,/thank-you,UK,True,False
ev2405653530,506,2025-06-27 22:24:35.154846,page_view,/products,EU,True,False
ev4462741397,184,2025-08-04 02:41:35.154852,page_view,/cart,US,True,False
ev9452246980,457,2025-07-27 15:16:35.154857,page_view,/thank-you,BR,True,True
ev8476023813,710,2025-07-03 23:12:35.154863,page_view,/checkout,EU,True,True
ev2890382338,514,2025-07-29 01:46:35.154868,add_to_cart,/products,EU,True,True
ev6454577881,215,2025-08-18 11:35:35.154874,add_to_cart,/,BR,True,True
ev1046887134,492,2025-06-23 10:53:35.154880,purchase,/products,EU,True,True
ev9164374553,544,2025-08-12 22:19:35.154887,add_to_cart,/,US,True,False
ev9478849393,739,2025-07-04 09:45:35.154897,page_view,/checkout,BR,True,False
ev2948416724,519,2025-07-21 18:57:35.154908,page_view,/products,BR,True,False
ev4083566636,520,2025-07-25 23:30:35.154914,add_to_cart,/cart,EU,True,True
ev3710088424,513,2025-07-19 05:44:35.154920,purchase,/cart,CA,True,True
ev2674817417,26,2025-07-02 21:37:35.154925,page_view,/,US,True,False
ev7151017034,481,2025-06-28 12:35:35.154930,purchase,/checkout,BR,True,True
ev4391289790,601,2025-08-10 22:50:35.154937,add_to_cart,/cart,US,True,False
ev1045225493,80,2025-08-10 06:04:35.154945,page_view,/products,EU,True,True
ev2976412295,446,2025-08-19 01:14:35.154955,add_to_cart,/checkout,UK,True,True
ev6948688851,52,2025-06-30 15:00:35.154969,signup,/checkout,EU,True,True
ev7315199507,630,2025-07-26 01:13:35.154978,begin_checkout,/,EU,True,True
ev1148970696,605,2025-07-22 03:40:35.154988,begin_checkout,/thank-you,EU,True,True
ev5949774788,270,2025-07-24 12:52:35.154997,add_to_cart,/checkout,US,True,True
ev6748679262,555,2025-08-12 22:36:35.155003,add_to_cart,/thank-you,US,False,True
ev6732241468,167,2025-07-13 09:49:35.155008,page_view,/checkout,UK,True,True
ev6862871864,670,2025-07-02 00:35:35.155014,add_to_cart,/checkout,US,False,True
ev8022285710,406,2025-06-22 01:01:35.155019,add_to_cart,/,BR,True,False
ev4016991576,471,2025-08-06 20:38:35.155025,page_view,/checkout,EU,True,True
ev8658932371,182,2025-08-12 22:38:35.155031,signup,/thank-you,US,True,False
ev4974494098,759,2025-07-30 02:44:35.155037,page_view,/checkout,EU,True,False
ev1544391148,472,2025-07-12 04:55:35.155042,page_view,/cart,US,True,True
ev6862590434,157,2025-08-05 13:49:35.155048,add_to_cart,/cart,EU,True,True
ev4084053753,436,2025-07-06 01:23:35.155053,page_view,/,US,True,True
ev6716429242,259,2025-07-08 23:50:35.155059,add_to_cart,/thank-you,EU,False,True
ev4359239572,553,2025-08-05 03:11:35.155065,page_view,/,EU,False,True
ev5480993542,339,2025-07-30 11:09:35.155070,page_view,/checkout,US,True,True
ev5998275930,20,2025-07-18 19:58:35.155075,purchase,/,EU,True,True
ev7372538584,337,2025-07-29 10:36:35.155081,page_view,/checkout,BR,True,True
ev3666794113,630,2025-07-13 21:04:35.155086,page_view,/thank-you,EU,False,True
ev7027982406,45,2025-07-25 05:49:35.155092,page_view,/thank-you,EU,True,True
ev3096883836,97,2025-07-26 09:46:35.155097,page_view,/products,EU,True,False
ev8119436079,692,2025-08-14 15:58:35.155103,page_view,/thank-you,EU,True,True
ev3081916239,381,2025-08-19 20:19:35.155108,page_view,/checkout,EU,True,True
ev1646720089,761,2025-08-17 23:59:35.155114,begin_checkout,/checkout,EU,True,True
ev1345466092,335,2025-07-21 16:16:35.155119,page_view,/thank-you,EU,True,True
ev6387254141,248,2025-06-30 13:41:35.155124,add_to_cart,/cart,US,True,True
ev3907701392,785,2025-08-17 12:13:35.155130,page_view,/products,US,True,True
ev6171107254,336,2025-08-15 09:54:35.155135,page_view,/products,EU,True,False
ev3796526236,638,2025-07-23 12:17:35.155141,page_view,/products,US,True,True
ev4955693991,580,2025-07-03 04:28:35.155146,page_view,/cart,EU,True,True
ev8831499301,731,2025-08-05 22:23:35.155151,page_view,/products,CA,True,False
ev9311864175,429,2025-08-07 02:57:35.155157,add_to_cart,/thank-you,EU,True,True
ev1387907618,215,2025-06-25 21:18:35.155163,begin_checkout,/products,EU,True,False
ev9533842724,597,2025-07-31 15:27:35.155168,page_view,/thank-you,US,True,True
ev5543739889,402,2025-07-06 03:08:35.155174,page_view,/thank-you,EU,True,True
ev7656584131,402,2025-08-09 18:39:35.155179,page_view,/checkout,CA,True,True
ev9365751633,700,2025-06-25 10:24:35.155185,add_to_cart,/checkout,BR,True,True
ev2695453162,565,2025-08-05 13:23:35.155190,purchase,/thank-you,EU,False,True
